time,predators_mean,predators_ci_lower,predators_ci_upper,prey_mean,prey_ci_lower,prey_ci_upper,prey_predator_ratio_mean,prey_predator_ratio_ci_lower,prey_predator_ratio_ci_upper,predator_growth_rate_mean,predator_growth_rate_ci_lower,predator_growth_rate_ci_upper,prey_growth_rate_mean,prey_growth_rate_ci_lower,prey_growth_rate_ci_upper,predator_gender_ratio_mean,predator_gender_ratio_ci_lower,predator_gender_ratio_ci_upper,prey_gender_ratio_mean,prey_gender_ratio_ci_lower,prey_gender_ratio_ci_upper,total_biomass_mean,total_biomass_ci_lower,total_biomass_ci_upper
16.5,12.033333333333333,10.143310212807195,13.923356453859471,59.9,52.13310902261213,67.66689097738787,5.928523036875978,4.522790241152054,7.3342558325999,-0.05351160277630866,-0.12240857552482662,0.015385369972209295,-0.043278221785448746,-0.10816087839423867,0.021604434823341165,,,,1.0542828905404336,0.9545592060009574,1.1540065750799098,71.93333333333334,63.27394514361647,80.5927215230502
17.0,12.166666666666666,9.860489139527454,14.472844193805878,62.266666666666666,55.138528408158415,69.39480492517491,6.486885955553975,4.8784645934673545,8.095307317640595,-0.004932539682539682,-0.0630552034657982,0.05319012410071883,0.07470776585096933,-0.010866040055671627,0.16028157175761035,,,,1.0872333148309865,0.9760085018279893,1.1984581278339839,74.43333333333334,66.2016277741582,82.66503889250848
17.5,12.733333333333333,10.094896282493092,15.371770384173573,59.53333333333333,52.79720786986464,66.26945879680203,6.267743009971339,4.416245208109859,8.119240811832817,0.04211248421525636,-0.021576484155743425,0.10580145258625615,-0.026330140723085912,-0.086694313096359,0.034034031650187174,,,,1.1241354797261314,0.9773577672223951,1.270913192229868,72.26666666666667,64.56968052405573,79.9636528092776
18.0,12.966666666666667,10.395510018025234,15.5378233153081,61.233333333333334,54.905013177343164,67.5616534893235,6.505766111115476,4.223285940167031,8.78824628206392,0.05032276398065872,-0.04845515618442305,0.14910068414574046,0.05070314246580291,-0.02822153851850282,0.12962782345010865,,,,1.0251731094804237,0.8954810509249166,1.1548651680359308,74.2,67.28588173246024,81.11411826753977
18.5,13.466666666666667,10.810431178635984,16.12290215469735,62.46666666666667,56.36734064827145,68.56599268506189,6.66256514011739,3.7361018260110925,9.58902845422369,0.0599603911483382,-0.03465375875219923,0.1545745410488756,0.036313134673145016,-0.030764449690449884,0.10339071903673991,,,,1.0001983622151998,0.8621243984046246,1.138272326025775,75.93333333333334,69.1522480158685,82.71441865079818
19.0,13.2,10.761447048480457,15.638552951519541,61.93333333333333,55.83463797524362,68.03202869142304,6.627903026289754,3.724412311942461,9.531393740637046,0.004018793887977718,-0.05395939442693501,0.06199698220289043,-0.0012771900050652036,-0.05462431943802921,0.0520699394278988,,,,0.9815110009707012,0.8554040121703266,1.107617989771076,75.13333333333334,68.31209389736719,81.95457276929949
19.5,13.3,10.869841063744992,15.730158936255009,60.56666666666667,53.96685760915778,67.16647572417556,6.96882004054958,3.426267932443723,10.511372148655434,0.0075396182976274475,-0.05194849936340717,0.06702773595866207,-0.005686152425406122,-0.07765821791602043,0.0662859130652082,,,,1.0150302665102624,0.8685125031432264,1.1615480298772984,73.86666666666666,67.14697783214363,80.58635550118969
20.0,13.666666666666666,11.212521701730832,16.1208116316025,61.6,53.48896473577389,69.71103526422611,7.185638750776682,2.83159973326769,11.539677768285674,0.05453290966398383,-0.026657396514850613,0.13572321584281824,0.02147887567884478,-0.04665307844586315,0.08961082980355271,,,,1.025408012143042,0.9172544526049222,1.1335615716811618,75.26666666666667,67.2232921714619,83.31004116187142
20.5,13.466666666666667,10.5980885919436,16.335244741389733,61.266666666666666,52.1866321143374,70.34670121899593,7.668430077232709,2.6049638004904283,12.731896353974989,-0.013007881645812678,-0.09315213211065008,0.06713636881902472,0.0050352579468547565,-0.06536077838107317,0.07543129427478269,,,,0.9933463767352715,0.9005924432165431,1.086100310254,74.73333333333333,65.67238133497594,83.79428533169073
21.0,13.9,10.530985717136577,17.269014282863424,65.23333333333333,54.60660407523495,75.86006259143171,8.29514064362068,2.2305967743967665,14.359684512844591,0.05210309573467468,-0.03418656639360499,0.13839275786295435,0.0697903768391392,0.012907348857383524,0.12667340482089484,,,,0.999904605485821,0.8973143296609194,1.1024948813107227,79.13333333333334,68.56874805161922,89.69791861504746
